Obec;Celkem;MCelkem;ZCelkem;PV;MPV;ZPV
554782;1324277;647286;676991;41.9388;40.4911;43.3230
529303;16758;8024;8734;42.8968;41.1965;44.4589
532568;234;112;122;44.6325;47.7232;41.7951
530743;218;108;110;43.5229;43.7130;43.3364
532380;111;54;57;48.4099;45.4815;51.1842
532096;86;41;45;43.8721;40.8659;46.6111
532924;773;387;386;40.3784;40.8953;39.8601
529451;4483;2235;2248;41.5065;40.3174;42.6886
532690;150;79;71;36.4133;36.3608;36.4718
529478;125;66;59;40.5240;38.9848;42.2458
529486;1393;675;718;43.2674;41.7889;44.6574
529516;2917;1453;1464;41.4256;40.7512;42.0949
529532;349;173;176;41.0817;40.4827;41.6705
529541;166;80;86;43.5843;44.1125;43.0930
529567;721;348;373;40.5957;40.0632;41.0925
532746;63;32;31;43.7698;43.5000;44.0484
529621;1758;881;877;40.5233;38.8564;42.1978
529648;881;440;441;44.7656;43.2659;46.2619
532151;103;55;48;37.0146;32.3182;42.3958
532843;63;35;28;42.9286;39.2143;47.5714
529702;728;368;360;42.9863;42.8832;43.0917
532932;23;15;8;53.4130;49.1667;61.3750
529737;298;144;154;44.0940;44.6736;43.5519
529745;334;170;164;42.1048;41.5235;42.7073
532886;217;109;108;36.5461;35.7202;37.3796
532878;51;30;21;49.8922;48.7667;51.5000
532045;377;192;185;39.6088;39.4063;39.8189
529770;129;68;61;44.3760;44.6912;44.0246
529788;148;82;66;39.5135;37.2683;42.3030
529796;1266;629;637;41.1556;40.6606;41.6444
532606;72;37;35;45.0694;41.2297;49.1286
529818;585;292;293;39.4675;39.2774;39.6570
532037;235;116;119;41.3511;40.2500;42.4244
529842;911;422;489;43.1619;41.5474;44.5552
529851;121;64;57;44.9711;44.7656;45.2018
532134;127;63;64;43.2874;42.1190;44.4375
531031;140;72;68;49.1929;47.6944;50.7794
529907;183;94;89;45.1448;43.0319;47.3764
533084;271;153;118;41.5996;39.9379;43.7542
529931;514;248;266;40.0739;40.7742;39.4211
529940;325;149;176;40.0846;38.7013;41.2557
529958;1051;536;515;41.3516;39.9123;42.8495
529974;454;241;213;43.9978;42.2967;45.9225
529991;807;394;413;41.9399;40.6421;43.1780
530000;434;226;208;43.0138;42.4513;43.6250
530026;94;48;46;41.4894;39.3542;43.7174
530051;796;400;396;40.2814;39.1875;41.3864
530069;208;107;101;40.6971;41.0327;40.3416
532258;66;33;33;44.1364;43.6515;44.6212
530093;580;294;286;41.4345;40.0986;42.8077
530107;658;327;331;44.2857;43.9404;44.6269
532193;426;220;206;43.6995;42.2273;45.2718
530115;754;387;367;42.7825;41.9005;43.7125
530158;366;187;179;42.7049;41.3503;44.1201
530166;821;404;417;45.6839;44.4208;46.9077
530174;192;106;86;39.6302;38.4340;41.1047
530191;213;112;101;46.1009;42.7946;49.7673
530204;855;417;438;41.4673;40.6343;42.2603
530212;1059;547;512;43.9353;43.4653;44.4375
530263;755;373;382;41.1795;41.3713;40.9921
530298;1157;577;580;41.4922;40.7964;42.1845
530301;536;291;245;41.6045;42.0430;41.0837
530310;2661;1359;1302;41.4684;40.9518;42.0077
530344;1287;656;631;41.3827;40.4497;42.3526
599395;52;29;23;41.7308;40.4310;43.3696
530352;399;196;203;40.9837;39.9643;41.9680
533076;249;117;132;39.4518;37.5342;41.1515
530409;316;156;160;41.5728;39.9679;43.1375
532649;277;132;145;44.4531;45.0985;43.8655
530441;1364;685;679;40.2852;38.1263;42.4632
530450;1363;702;661;41.4589;40.4601;42.5197
530476;569;292;277;41.8972;40.1233;43.7671
530492;390;186;204;39.8615;41.0538;38.7745
530514;127;69;58;45.3583;41.9348;49.4310
538680;2021;982;1039;39.1734;38.2240;40.0707
530522;266;130;136;47.6880;47.1231;48.2279
530531;385;195;190;40.0974;40.8436;39.3316
530549;167;83;84;43.0569;41.7289;44.3690
532550;303;154;149;41.0611;39.1753;43.0101
538710;442;221;221;44.7195;44.5769;44.8620
532941;236;130;106;40.0847;38.6000;41.9057
534382;3734;1851;1883;44.4068;42.8042;45.9822
532231;36;20;16;42.1944;38.6000;46.6875
530611;269;138;131;46.9647;44.1449;49.9351
532436;112;61;51;41.7500;42.4672;40.8922
530638;410;209;201;39.3829;37.9402;40.8831
599387;246;116;130;46.7276;46.8621;46.6077
599379;113;61;52;39.5000;37.5000;41.8462
599361;131;67;64;48.2481;46.7239;49.8438
530689;927;492;435;39.8722;38.4533;41.4770
530701;324;169;155;45.0710;44.1686;46.0548
530719;92;47;45;45.5326;44.9894;46.1000
532509;58;32;26;47.5862;46.6875;48.6923
530751;355;171;184;39.5254;37.0673;41.8098
530760;529;287;242;37.4187;35.9355;39.1777
530778;210;113;97;42.5095;41.2611;43.9639
532592;230;110;120;42.0435;42.8182;41.3333
532541;138;65;73;40.6739;44.9000;36.9110
530816;1401;699;702;42.5828;40.0393;45.1154
532304;94;46;48;42.6064;42.7609;42.4583
530841;5739;2832;2907;43.8748;42.1497;45.5554
532061;597;294;303;40.6005;40.4456;40.7508
530867;334;174;160;40.8413;40.4540;41.2625
530883;11550;5592;5958;43.8173;42.3446;45.1996
532614;98;49;49;41.8163;44.9490;38.6837
530891;480;236;244;47.5750;43.9407;51.0902
530905;4569;2231;2338;43.2610;41.8774;44.5813
530913;395;212;183;41.0671;40.0189;42.2814
530921;418;213;205;43.6531;44.1244;43.1634
530948;1024;510;514;39.9209;39.5902;40.2490
532266;107;50;57;40.7710;41.0400;40.5351
513482;190;94;96;45.6053;45.3617;45.8438
571415;57;32;25;42.2193;41.0313;43.7400
531022;533;262;271;43.4962;42.9618;44.0129
531049;351;174;177;46.6823;42.5575;50.7373
534421;344;167;177;37.7442;37.5659;37.9124
531057;19641;9420;10221;41.7574;39.9145;43.4558
531073;320;157;163;43.8406;43.9140;43.7699
531081;974;475;499;41.0031;39.4221;42.5080
531090;345;155;190;39.7029;38.5129;40.6737
531103;546;268;278;36.1355;34.1679;38.0324
534145;229;115;114;41.9279;42.1870;41.6667
531120;448;225;223;43.0938;42.6067;43.5852
531138;1154;570;584;42.6889;42.2702;43.0976
531154;776;370;406;41.0052;39.6189;42.2685
531162;287;151;136;41.4408;39.0298;44.1176
531171;1083;521;562;39.4861;39.5653;39.4128
531189;6901;3365;3536;43.0234;41.3089;44.6550
531201;1832;944;888;42.3936;41.9799;42.8333
531219;391;200;191;42.5512;41.0800;44.0916
531227;1225;610;615;43.5049;41.9459;45.0512
531235;252;130;122;43.0317;41.6385;44.5164
531243;1951;965;986;39.5154;37.8959;41.1004
531251;506;257;249;44.3992;44.7568;44.0301
534455;238;117;121;42.2059;41.5598;42.8306
534447;699;368;331;40.8805;41.5462;40.1405
533670;983;500;483;38.5692;37.3900;39.7899
531294;1851;919;932;43.2407;42.3400;44.1288
531308;194;104;90;43.7062;42.8558;44.6889
531316;861;429;432;44.3211;42.7517;45.8796
531324;2430;1223;1207;44.0786;42.7110;45.4644
531332;253;133;120;39.3814;39.9812;38.7167
533793;124;55;69;40.4919;40.8455;40.2101
534072;298;161;137;43.4530;42.1708;44.9599
533203;9690;4806;4884;36.9570;36.2380;37.6644
531375;671;327;344;41.4925;41.2554;41.7180
533939;110;65;45;41.6273;43.1769;39.3889
533335;346;177;169;40.9624;40.6412;41.2988
531448;605;303;302;42.6140;41.3185;43.9139
531456;1197;601;596;40.0129;38.6980;41.3389
531464;1991;1025;966;40.5522;38.6688;42.5507
531472;1286;672;614;39.9230;38.2946;41.7052
534404;133;73;60;40.2368;40.1301;40.3667
533319;107;56;51;41.8084;41.8750;41.7353
534218;111;63;48;40.1937;40.1984;40.1875
531529;309;152;157;41.0663;40.0000;42.0987
531537;581;277;304;43.0869;44.1931;42.0789
531545;836;423;413;39.4234;38.5875;40.2797
533912;169;83;86;42.4941;42.0422;42.9302
533602;279;137;142;42.2455;41.1058;43.3451
534269;169;85;84;40.5000;39.3706;41.6429
531588;589;293;296;39.9992;38.3840;41.5980
531596;2082;1056;1026;41.6158;39.9972;43.2817
531600;695;336;359;42.8827;40.6131;45.0070
531626;428;225;203;42.7407;40.7889;44.9039
531634;805;408;397;43.4304;42.8309;44.0466
531642;328;172;156;43.5366;41.3953;45.8974
534111;176;84;92;41.0341;41.3214;40.7717
531669;517;261;256;42.4807;40.4962;44.5039
